berth_id,category,length_m,width_m,depth_m,base_rate_eur_per_m_day,power_kw,annual_contract
51,A,8.0,3.36,2.16,1.896,3.7,1
52,A,8.0,3.43,2.24,1.992,3.7,1
53,A,8.0,3.37,2.21,1.935,3.7,1
54,A,8.0,3.35,2.24,1.865,3.7,0
55,A,8.0,3.44,2.18,1.915,3.7,0
56,A,8.0,3.41,2.20,1.923,3.7,1
57,A,8.0,3.45,2.18,1.905,3.7,1
58,A,8.0,3.41,2.24,1.883,3.7,0
59,A,8.0,3.39,2.17,1.944,3.7,0
60,A,8.0,3.35,2.26,1.844,3.7,0
61,A,8.0,3.37,2.20,1.849,3.7,1
62,A,8.0,3.35,2.25,1.888,3.7,1
63,A,8.0,3.44,2.21,1.917,3.7,0
64,A,8.0,3.42,2.17,1.915,3.7,1
65,A,8.0,3.39,2.18,1.949,3.7,1
66,A,8.0,3.40,2.19,1.937,3.7,1
67,A,8.0,3.41,2.21,1.980,3.7,1
68,A,8.0,3.41,2.16,1.988,3.7,1
69,A,8.0,3.42,2.23,1.965,3.7,1
70,A,8.0,3.40,2.21,1.926,3.7,1
71,A,8.0,3.38,2.22,1.984,3.7,0
72,A,8.0,3.40,2.17,1.849,3.7,1
73,A,8.0,3.37,2.21,1.861,3.7,1
74,A,8.0,3.35,2.16,1.969,3.7,1
75,A,8.0,3.36,2.21,1.844,3.7,0
76,A,8.0,3.45,2.22,1.965,3.7,1
77,A,8.0,3.37,2.20,1.948,3.7,1
78,A,8.0,3.40,2.24,1.882,3.7,1
79,A,8.0,3.40,2.18,1.860,3.7,1
80,A,8.0,3.39,2.20,1.951,3.7,1
81,A,8.0,3.39,2.20,1.912,3.7,1
82,A,8.0,3.39,2.23,1.968,3.7,1
83,A,8.0,3.43,2.25,1.870,3.7,1
84,A,8.0,3.44,2.19,1.856,3.7,1
85,A,8.0,3.37,2.25,1.866,3.7,0
86,A,8.0,3.43,2.23,1.952,3.7,0
87,A,8.0,3.42,2.24,1.941,3.7,1
88,A,8.0,3.44,2.18,1.844,3.7,1
89,A,8.0,3.38,2.21,1.978,3.7,1
90,B,10.0,4.02,2.57,2.382,3.7,0
91,B,10.0,4.04,2.60,2.460,3.7,0
92,B,10.0,4.05,2.66,2.493,3.7,1
93,B,10.0,4.03,2.58,2.453,3.7,0
94,B,10.0,4.01,2.56,2.452,3.7,1
95,B,10.0,4.04,2.58,2.352,3.7,0
96,B,10.0,3.99,2.59,2.485,3.7,0
97,B,10.0,4.02,2.64,2.413,3.7,1
98,B,10.0,4.06,2.56,2.494,3.7,1
99,B,10.0,4.04,2.66,2.461,3.7,1
100,B,10.0,3.96,2.60,2.407,3.7,1
101,B,10.0,4.07,2.65,2.336,3.7,1
102,B,10.0,4.05,2.68,2.415,3.7,1
103,B,10.0,4.06,2.59,2.372,3.7,1
104,B,10.0,4.07,2.60,2.416,3.7,1
105,B,10.0,4.03,2.55,2.514,3.7,1
106,B,10.0,4.05,2.59,2.408,3.7,0
107,B,10.0,4.01,2.62,2.408,3.7,0
108,B,10.0,4.04,2.65,2.477,3.7,1
109,B,10.0,3.99,2.68,2.401,3.7,0
110,B,10.0,4.07,2.64,2.433,3.7,1
111,B,10.0,4.01,2.56,2.398,3.7,1
112,B,10.0,4.05,2.67,2.340,3.7,1
113,B,10.0,3.99,2.57,2.359,3.7,0
114,B,10.0,4.07,2.62,2.379,3.7,1
115,B,10.0,4.04,2.58,2.396,3.7,0
116,B,10.0,4.05,2.65,2.454,3.7,0
117,B,10.0,4.03,2.56,2.432,3.7,1
118,B,10.0,4.07,2.66,2.504,3.7,1
119,B,10.0,4.08,2.65,2.465,3.7,1
120,B,10.0,4.03,2.61,2.437,3.7,1
121,B,10.0,4.08,2.67,2.472,3.7,1
122,B,10.0,3.98,2.66,2.373,3.7,0
123,B,10.0,4.05,2.66,2.505,3.7,0
124,B,10.0,4.05,2.58,2.397,3.7,1
125,B,10.0,4.05,2.68,2.361,3.7,1
126,B,10.0,4.06,2.61,2.441,3.7,1
127,B,10.0,3.99,2.62,2.412,3.7,0
128,B,10.0,3.98,2.59,2.483,3.7,0
129,B,10.0,3.98,2.62,2.425,3.7,0
130,B,10.0,3.97,2.62,2.425,3.7,0
131,B,10.0,4.02,2.63,2.329,3.7,1
132,B,10.0,3.98,2.60,2.431,3.7,0
133,B,10.0,3.97,2.57,2.399,3.7,1
134,B,10.0,4.08,2.62,2.495,3.7,1
135,B,10.0,3.98,2.60,2.328,3.7,1
136,B,10.0,4.01,2.55,2.339,3.7,1
137,B,10.0,4.03,2.62,2.503,3.7,0
138,B,10.0,4.03,2.57,2.368,3.7,0
139,B,10.0,4.08,2.60,2.490,3.7,0
140,B,10.0,4.07,2.62,2.502,3.7,1
141,B,10.0,4.00,2.63,2.462,3.7,1
142,B,10.0,4.05,2.66,2.396,3.7,1
143,B,10.0,3.99,2.65,2.419,3.7,1
144,B,10.0,4.00,2.62,2.354,3.7,1
145,B,10.0,4.01,2.56,2.433,3.7,1
146,B,10.0,4.00,2.60,2.518,3.7,1
147,B,10.0,4.05,2.67,2.344,3.7,1
148,B,10.0,4.00,2.55,2.374,3.7,0
149,B,10.0,3.97,2.67,2.386,3.7,0
150,B,10.0,3.96,2.62,2.499,3.7,0
151,B,10.0,3.99,2.63,2.340,3.7,1
152,B,10.0,3.98,2.57,2.344,3.7,1
153,B,10.0,4.02,2.56,2.465,3.7,1
154,B,10.0,4.04,2.61,2.330,3.7,1
155,B,10.0,4.00,2.59,2.374,3.7,1
156,B,10.0,3.99,2.60,2.476,3.7,1
157,B,10.0,3.97,2.61,2.396,3.7,0
158,B,10.0,3.97,2.57,2.428,3.7,1
159,B,10.0,4.05,2.64,2.476,3.7,1
160,B,10.0,4.02,2.64,2.439,3.7,1
161,B,10.0,3.97,2.65,2.424,3.7,1
162,B,10.0,4.07,2.61,2.519,3.7,0
163,B,10.0,4.04,2.58,2.433,3.7,0
164,B,10.0,3.99,2.57,2.381,3.7,0
165,B,10.0,4.01,2.60,2.435,3.7,0
166,B,10.0,3.96,2.55,2.385,3.7,1
167,B,10.0,4.04,2.63,2.451,3.7,1
168,B,10.0,4.00,2.62,2.340,3.7,1
169,B,10.0,4.00,2.67,2.405,3.7,1
170,B,10.0,4.06,2.61,2.402,3.7,1
171,B,10.0,3.99,2.55,2.488,3.7,1
172,B,10.0,4.06,2.62,2.404,3.7,1
173,B,10.0,4.07,2.61,2.420,3.7,1
174,B,10.0,3.97,2.65,2.487,3.7,1
175,B,10.0,4.00,2.66,2.361,3.7,1
176,B,10.0,3.97,2.58,2.398,3.7,0
177,B,10.0,4.02,2.60,2.466,3.7,0
178,B,10.0,4.04,2.59,2.511,3.7,0
179,B,10.0,4.06,2.59,2.481,3.7,0
180,B,10.0,4.06,2.62,2.447,3.7,0
181,B,10.0,4.06,2.63,2.429,3.7,1
182,B,10.0,4.06,2.64,2.494,3.7,1
183,B,10.0,4.00,2.65,2.465,3.7,1
184,B,10.0,4.03,2.58,2.405,3.7,1
185,B,10.0,4.05,2.65,2.396,3.7,1
186,B,10.0,4.07,2.62,2.453,3.7,1
187,B,10.0,4.07,2.60,2.349,3.7,0
188,B,10.0,3.97,2.63,2.465,3.7,1
189,B,10.0,3.97,2.59,2.417,3.7,1
190,C,12.0,4.69,2.97,3.064,7.4,1
191,C,12.0,4.65,3.08,2.955,7.4,1
192,C,12.0,4.58,2.97,3.136,7.4,0
193,C,12.0,4.70,3.04,2.935,7.4,1
194,C,12.0,4.71,3.08,2.948,7.4,0
195,C,12.0,4.69,2.94,3.111,7.4,1
196,C,12.0,4.67,3.09,2.990,7.4,0
197,C,12.0,4.67,3.03,3.062,7.4,1
198,C,12.0,4.71,3.01,3.140,7.4,0
199,C,12.0,4.65,2.99,3.005,7.4,1
200,C,12.0,4.59,3.08,3.016,7.4,1
201,C,12.0,4.69,3.09,3.144,7.4,1
202,C,12.0,4.64,3.00,3.109,7.4,0
203,C,12.0,4.61,2.95,3.014,7.4,1
204,C,12.0,4.66,2.98,2.997,7.4,0
205,C,12.0,4.68,3.04,2.914,7.4,1
206,C,12.0,4.70,3.06,2.954,7.4,1
207,C,12.0,4.58,2.97,2.950,7.4,0
208,C,12.0,4.58,3.01,3.105,7.4,0
209,C,12.0,4.59,2.98,2.958,7.4,0
210,C,12.0,4.65,3.00,2.941,7.4,1
211,C,12.0,4.64,2.96,2.962,7.4,0
212,C,12.0,4.66,3.07,3.024,7.4,0
213,C,12.0,4.65,3.07,2.932,7.4,1
214,C,12.0,4.64,2.97,3.039,7.4,1
215,C,12.0,4.68,2.96,3.093,7.4,1
216,C,12.0,4.65,3.09,3.110,7.4,0
217,C,12.0,4.65,2.96,3.135,7.4,0
218,C,12.0,4.68,3.07,3.137,7.4,1
219,C,12.0,4.68,3.07,2.925,7.4,1
220,C,12.0,4.66,3.07,3.069,7.4,0
221,C,12.0,4.64,3.03,3.028,7.4,1
222,C,12.0,4.59,2.98,2.937,7.4,1
223,C,12.0,4.60,3.04,3.132,7.4,1
224,C,12.0,4.64,3.04,3.141,7.4,0
225,C,12.0,4.64,2.94,2.989,7.4,1
226,C,12.0,4.58,2.97,3.036,7.4,0
227,C,12.0,4.66,3.06,2.959,7.4,1
228,C,12.0,4.60,3.04,2.961,7.4,1
229,C,12.0,4.60,3.04,3.018,7.4,0
230,C,12.0,4.61,3.00,2.947,7.4,1
231,C,12.0,4.63,2.97,3.120,7.4,1
232,C,12.0,4.64,3.02,3.020,7.4,1
233,C,12.0,4.59,3.04,3.064,7.4,0
234,C,12.0,4.61,2.99,3.047,7.4,1
235,C,12.0,4.67,2.94,3.099,7.4,1
236,C,12.0,4.60,2.99,2.968,7.4,1
237,C,12.0,4.63,3.06,3.149,7.4,1
238,C,12.0,4.60,3.03,3.116,7.4,0
239,C,12.0,4.67,3.01,2.929,7.4,0
240,C,12.0,4.58,3.02,2.937,7.4,1
241,C,12.0,4.61,2.99,3.135,7.4,0
242,C,12.0,4.64,3.09,3.131,7.4,1
243,C,12.0,4.57,2.98,3.101,7.4,0
244,C,12.0,4.67,3.08,3.012,7.4,0
245,C,12.0,4.62,2.96,3.122,7.4,0
246,C,12.0,4.69,3.05,3.110,7.4,0
247,C,12.0,4.59,3.00,3.091,7.4,1
248,C,12.0,4.63,3.06,3.075,7.4,1
249,C,12.0,4.62,2.97,3.076,7.4,1
250,C,12.0,4.60,3.02,2.963,7.4,0
251,C,12.0,4.63,3.01,3.050,7.4,1
252,C,12.0,4.64,2.99,3.143,7.4,0
253,C,12.0,4.67,3.05,2.942,7.4,1
254,C,12.0,4.60,3.06,3.104,7.4,1
255,C,12.0,4.58,3.06,3.024,7.4,0
256,C,12.0,4.60,2.97,3.063,7.4,1
257,C,12.0,4.64,3.08,3.023,7.4,1
258,C,12.0,4.68,3.01,3.065,7.4,1
259,C,12.0,4.67,3.03,3.090,7.4,1
260,C,12.0,4.71,3.05,2.927,7.4,1
261,C,12.0,4.66,3.00,2.939,7.4,0
262,C,12.0,4.68,2.97,3.067,7.4,0
263,C,12.0,4.66,2.99,2.993,7.4,0
264,C,12.0,4.71,3.08,3.004,7.4,1
265,C,12.0,4.71,3.04,3.045,7.4,1
266,C,12.0,4.62,2.98,3.044,7.4,1
267,C,12.0,4.62,3.02,3.060,7.4,0
268,C,12.0,4.71,3.02,3.106,7.4,0
269,C,12.0,4.62,2.95,2.918,7.4,1
270,C,12.0,4.59,2.95,3.086,7.4,0
271,C,12.0,4.70,2.98,2.922,7.4,0
272,C,12.0,4.63,2.94,3.015,7.4,1
273,C,12.0,4.70,3.01,2.950,7.4,0
274,C,12.0,4.62,2.97,3.142,7.4,1
275,C,12.0,4.58,3.08,2.944,7.4,1
276,C,12.0,4.71,3.00,2.980,7.4,1
277,C,12.0,4.62,2.96,2.955,7.4,0
278,C,12.0,4.70,3.05,3.065,7.4,0
279,C,12.0,4.64,3.06,3.110,7.4,1
280,C,12.0,4.64,2.94,2.960,7.4,1
281,C,12.0,4.68,3.04,2.957,7.4,1
282,C,12.0,4.68,3.02,3.066,7.4,0
283,C,12.0,4.67,2.98,2.916,7.4,0
284,C,12.0,4.65,2.98,3.001,7.4,1
285,D,15.0,5.54,3.39,3.913,7.4,1
286,D,15.0,5.57,3.43,3.864,7.4,0
287,D,15.0,5.51,3.36,3.809,7.4,1
288,D,15.0,5.52,3.39,4.061,7.4,1
289,D,15.0,5.63,3.35,3.827,7.4,0
290,D,15.0,5.61,3.36,3.854,7.4,1
291,D,15.0,5.63,3.46,4.024,7.4,1
292,D,15.0,5.57,3.34,4.032,7.4,1
293,D,15.0,5.50,3.49,3.989,7.4,1
294,D,15.0,5.64,3.35,3.795,7.4,1
295,D,15.0,5.64,3.40,4.012,7.4,0
296,D,15.0,5.57,3.38,3.862,7.4,0
297,D,15.0,5.66,3.49,3.970,7.4,0
298,D,15.0,5.60,3.43,3.919,7.4,1
299,D,15.0,5.55,3.37,3.984,7.4,0
300,D,15.0,5.61,3.47,3.965,7.4,1
301,D,15.0,5.61,3.40,3.916,7.4,1
302,D,15.0,5.64,3.44,4.066,7.4,0
303,D,15.0,5.65,3.44,3.878,7.4,1
304,D,15.0,5.55,3.46,3.842,7.4,1
305,D,15.0,5.54,3.43,3.895,7.4,1
306,D,15.0,5.63,3.42,3.979,7.4,0
307,D,15.0,5.59,3.38,3.861,7.4,1
308,D,15.0,5.50,3.43,3.954,7.4,1
309,D,15.0,5.58,3.34,3.961,7.4,1
310,D,15.0,5.53,3.39,3.963,7.4,1
311,D,15.0,5.50,3.45,3.866,7.4,0
312,D,15.0,5.50,3.42,3.930,7.4,1
313,D,15.0,5.59,3.48,3.902,7.4,1
314,D,15.0,5.63,3.48,3.803,7.4,0
315,D,15.0,5.60,3.43,4.072,7.4,0
316,D,15.0,5.50,3.36,4.022,7.4,1
317,D,15.0,5.59,3.35,3.998,7.4,0
318,D,15.0,5.61,3.47,3.913,7.4,0
319,D,15.0,5.52,3.38,4.021,7.4,1
320,D,15.0,5.59,3.44,3.958,7.4,0
321,D,15.0,5.64,3.35,3.888,7.4,0
322,D,15.0,5.58,3.46,3.997,7.4,1
323,D,15.0,5.55,3.36,3.905,7.4,0
324,D,15.0,5.51,3.33,3.785,7.4,1
325,D,15.0,5.55,3.42,3.953,7.4,0
326,D,15.0,5.65,3.47,3.856,7.4,0
327,D,15.0,5.53,3.41,3.813,7.4,0
328,D,15.0,5.58,3.45,3.886,7.4,0
329,D,15.0,5.59,3.34,4.087,7.4,1
330,D,15.0,5.55,3.44,3.901,7.4,0
331,D,15.0,5.50,3.43,3.828,7.4,1
332,D,15.0,5.60,3.47,3.897,7.4,1
333,D,15.0,5.64,3.49,3.910,7.4,0
334,D,15.0,5.60,3.42,3.963,7.4,1
335,D,15.0,5.64,3.43,3.805,7.4,1
336,D,15.0,5.58,3.49,3.862,7.4,0
337,D,15.0,5.59,3.46,3.943,7.4,1
338,D,15.0,5.66,3.45,3.816,7.4,0
339,D,15.0,5.60,3.47,4.071,7.4,0
340,D,15.0,5.65,3.43,3.981,7.4,1
341,D,15.0,5.62,3.48,3.887,7.4,0
342,D,15.0,5.63,3.46,3.936,7.4,0
343,D,15.0,5.60,3.40,4.037,7.4,0
344,D,15.0,5.62,3.49,4.063,7.4,1
345,D,15.0,5.54,3.43,3.950,7.4,0
346,D,15.0,5.53,3.40,3.985,7.4,0
347,D,15.0,5.64,3.48,3.818,7.4,0
348,D,15.0,5.62,3.48,3.940,7.4,1
349,D,15.0,5.53,3.40,3.808,7.4,1
350,D,15.0,5.59,3.50,3.858,7.4,0
351,D,15.0,5.54,3.40,3.820,7.4,1
352,D,15.0,5.59,3.49,3.830,7.4,0
353,D,15.0,5.60,3.50,4.030,7.4,1
354,D,15.0,5.60,3.38,3.876,7.4,1
355,D,15.0,5.63,3.39,3.914,7.4,1
356,D,15.0,5.63,3.45,3.927,7.4,0
357,D,15.0,5.52,3.38,3.889,7.4,0
358,D,15.0,5.62,3.39,4.005,7.4,0
359,D,15.0,5.54,3.41,3.896,7.4,1
360,D,15.0,5.61,3.50,3.989,7.4,1
361,D,15.0,5.65,3.34,3.884,7.4,1
362,D,15.0,5.59,3.35,3.892,7.4,0
363,D,15.0,5.58,3.39,3.909,7.4,1
364,D,15.0,5.57,3.41,3.987,7.4,0
365,E,18.0,6.49,3.74,5.052,14.5,0
366,E,18.0,6.59,3.87,5.165,14.5,0
367,E,18.0,6.43,3.85,5.015,14.5,1
368,E,18.0,6.57,3.84,5.003,14.5,0
369,E,18.0,6.55,3.87,5.235,14.5,0
370,E,18.0,6.42,3.77,5.147,14.5,1
371,E,18.0,6.52,3.87,5.035,14.5,0
372,E,18.0,6.44,3.75,5.016,14.5,1
373,E,18.0,6.50,3.89,5.182,14.5,1
374,E,18.0,6.53,3.73,4.915,14.5,0
375,E,18.0,6.45,3.88,5.019,14.5,0
376,E,18.0,6.60,3.81,4.987,14.5,0
377,E,18.0,6.45,3.82,4.866,14.5,1
378,E,18.0,6.58,3.81,4.952,14.5,1
379,E,18.0,6.44,3.87,5.025,14.5,0
380,E,18.0,6.60,3.89,4.986,14.5,0
381,E,18.0,6.52,3.77,4.982,14.5,0
382,E,18.0,6.55,3.80,5.018,14.5,0
383,E,18.0,6.56,3.86,5.157,14.5,1
384,E,18.0,6.45,3.75,5.048,14.5,0
385,E,18.0,6.55,3.81,5.185,14.5,0
386,E,18.0,6.58,3.89,5.037,14.5,0
387,E,18.0,6.59,3.77,4.907,14.5,0
388,E,18.0,6.54,3.75,4.852,14.5,0
389,E,18.0,6.59,3.85,5.184,14.5,0
390,E,18.0,6.47,3.83,4.908,14.5,1
391,E,18.0,6.52,3.89,4.856,14.5,1
392,E,18.0,6.48,3.88,4.949,14.5,0
393,E,18.0,6.60,3.90,4.894,14.5,0
394,E,18.0,6.51,3.80,5.227,14.5,1
395,E,18.0,6.43,3.89,5.221,14.5,0
396,E,18.0,6.56,3.77,5.112,14.5,0
397,E,18.0,6.51,3.91,4.881,14.5,0
398,E,18.0,6.43,3.78,5.011,14.5,0
399,E,18.0,6.57,3.86,4.995,14.5,1
400,E,18.0,6.58,3.79,5.220,14.5,0
401,E,18.0,6.43,3.78,5.118,14.5,1
402,E,18.0,6.51,3.87,5.070,14.5,1
403,E,18.0,6.58,3.80,4.962,14.5,1
404,E,18.0,6.42,3.84,5.023,14.5,0
405,E,18.0,6.44,3.87,5.033,14.5,1
406,E,18.0,6.46,3.86,5.205,14.5,1
407,E,18.0,6.48,3.74,5.210,14.5,1
408,E,18.0,6.48,3.88,5.230,14.5,1
409,E,18.0,6.47,3.72,5.056,14.5,1
410,F,21.0,7.41,4.20,6.336,14.5,1
411,F,21.0,7.38,4.20,6.458,14.5,1
412,F,21.0,7.42,4.21,6.462,14.5,0
413,F,21.0,7.48,4.15,6.174,14.5,0
414,F,21.0,7.50,4.24,6.392,14.5,0
415,F,21.0,7.56,4.13,6.462,14.5,1
416,F,21.0,7.53,4.22,6.484,14.5,0
417,F,21.0,7.53,4.26,6.309,14.5,0
418,F,21.0,7.42,4.25,6.222,14.5,1
419,F,21.0,7.42,4.20,6.501,14.5,1
420,F,21.0,7.48,4.25,6.238,14.5,0
421,F,21.0,7.53,4.25,6.195,14.5,0
422,F,21.0,7.42,4.17,6.053,14.5,1
423,F,21.0,7.47,4.30,6.450,14.5,1
424,F,21.0,7.46,4.23,6.110,14.5,0
425,F,21.0,7.56,4.28,6.469,14.5,0
426,F,21.0,7.42,4.21,6.035,14.5,0
427,F,21.0,7.52,4.12,6.408,14.5,0
428,F,21.0,7.55,4.18,6.493,14.5,1
429,F,21.0,7.40,4.20,6.059,14.5,0
430,F,21.0,7.35,4.21,6.265,14.5,0
431,F,21.0,7.44,4.21,6.246,14.5,0
432,F,21.0,7.41,4.29,6.473,14.5,1
433,F,21.0,7.47,4.14,6.143,14.5,1
434,F,21.0,7.34,4.22,6.306,14.5,0
435,G,25.0,8.65,4.71,7.774,45.0,0
436,G,25.0,8.77,4.71,7.823,45.0,1
437,G,25.0,8.78,4.77,7.369,45.0,0
438,G,25.0,8.74,4.94,7.441,45.0,0
439,G,25.0,8.67,4.78,7.603,45.0,1
440,G,25.0,8.80,4.90,7.310,45.0,0
441,G,25.0,8.77,4.87,7.480,45.0,1
442,G,25.0,8.64,4.94,7.590,45.0,0
443,G,25.0,8.65,4.74,7.640,45.0,0
444,G,25.0,8.65,4.83,7.744,45.0,0
445,G,25.0,8.71,4.93,7.448,45.0,0
446,G,25.0,8.74,4.90,7.581,45.0,1
447,G,25.0,8.70,4.72,7.710,45.0,0
448,G,25.0,8.79,4.93,7.435,45.0,0
449,G,25.0,8.61,4.94,7.485,45.0,0
450,H,30.0,10.15,5.56,9.718,45.0,0
451,H,30.0,10.24,5.64,9.509,45.0,1
452,H,30.0,10.17,5.46,9.957,45.0,1
453,H,30.0,10.10,5.50,9.722,45.0,0
454,H,30.0,10.37,5.43,9.625,45.0,0
455,H,30.0,10.39,5.63,9.333,45.0,0
456,H,30.0,10.37,5.66,9.636,45.0,0
457,H,30.0,10.11,5.60,9.735,45.0,0
458,H,30.0,10.27,5.65,9.832,45.0,0
459,H,30.0,10.31,5.51,9.824,45.0,0
