request_id,segment,boat_type,length_m,beam_m,draft_m,power_kw,booking_day,arrival_day,departure_day,nights,lead_days
2272,motor,motorboat,13.65,4.22,1.17,6.5,-69,76,78,2,145
2417,super,yacht,28.39,7.62,3.26,33.1,-69,79,83,4,148
347,motor,motorboat,16.3,4.55,1.51,10.0,-66,20,27,7,86
1748,super,yacht,20.56,5.76,2.35,17.8,-66,66,69,3,132
2525,super,yacht,26.55,7.17,3.4,27.9,-65,81,83,2,146
94,sail,sailboat,17.0,5.5,2.62,0.0,-64,4,8,4,68
2389,super,yacht,27.5,7.29,3.33,23.7,-64,78,82,4,142
2689,super,yacht,26.62,7.25,3.33,22.7,-62,85,87,2,147
1628,sail,sailboat,14.01,4.58,2.22,4.4,-61,64,71,7,125
207,super,yacht,28.7,7.32,3.81,32.0,-60,12,13,1,72
528,sail,sailboat,15.97,4.82,2.42,0.0,-60,30,32,2,90
1050,sail,sailboat,11.81,3.73,1.86,5.9,-60,47,48,1,107
1332,motor,motorboat,14.57,4.17,1.3,6.8,-60,56,57,1,116
1999,motor,motorboat,19.76,5.65,1.77,9.2,-60,71,74,3,131
606,super,yacht,27.93,7.18,3.63,25.1,-59,32,35,3,91
1224,sail,sailboat,12.09,3.73,1.89,4.9,-59,53,58,5,112
2122,motor,motorboat,14.58,4.45,1.25,6.3,-59,73,76,3,132
805,small,motorboat,6.37,2.22,0.66,0.0,-58,39,41,2,97
1408,sail,sailboat,10.46,3.49,1.69,4.1,-58,59,61,2,117
2966,super,yacht,27.06,7.59,3.04,35.4,-58,90,94,4,148
391,super,yacht,21.15,5.99,2.38,36.1,-57,23,24,1,80
687,super,yacht,24.59,6.65,2.91,18.5,-57,36,39,3,93
1505,motor,motorboat,14.32,4.37,1.5,5.1,-57,61,64,3,118
2679,super,yacht,22.18,6.13,2.96,23.3,-57,85,86,1,142
3044,super,yacht,20.54,5.27,2.24,39.6,-57,92,96,4,149
3067,motor,motorboat,12.65,3.58,1.1,3.5,-57,92,93,1,149
523,sail,sailboat,13.41,4.13,2.37,4.1,-56,30,33,3,86
2523,super,yacht,22.38,6.1,2.81,25.5,-56,81,84,3,137
162,super,yacht,26.49,6.85,3.25,17.3,-55,9,12,3,64
63,motor,motorboat,16.38,4.78,1.68,6.4,-54,3,5,2,57
1243,sail,sailboat,10.73,3.56,1.72,0.0,-54,53,54,1,107
692,small,motorboat,9.18,3.29,1.03,3.1,-53,36,42,6,89
1003,super,yacht,21.71,5.7,2.54,18.8,-53,45,48,3,98
1203,sail,sailboat,14.32,4.38,2.64,5.3,-53,52,57,5,105
1597,sail,sailboat,13.79,4.16,2.38,5.5,-53,64,90,26,117
2150,sail,sailboat,13.79,4.67,2.24,6.8,-53,74,83,9,127
2168,super,yacht,26.21,6.76,2.9,28.5,-53,74,85,11,127
134,motor,motorboat,12.58,3.6,1.08,0.0,-52,7,10,3,59
185,motor,motorboat,13.04,3.63,1.24,5.1,-52,10,13,3,62
421,super,yacht,27.38,7.26,3.6,31.1,-52,24,29,5,76
540,sail,sailboat,11.66,3.69,1.82,6.4,-51,31,36,5,82
744,motor,motorboat,16.31,4.6,1.7,7.7,-51,37,39,2,88
2826,small,motorboat,8.75,2.93,0.9,2.7,-51,87,92,5,138
2895,super,yacht,25.59,6.73,3.41,12.8,-51,88,89,1,139
3072,sail,sailboat,10.24,3.27,1.63,0.0,-51,92,93,1,143
1840,motor,motorboat,19.44,5.66,1.79,7.7,-50,67,76,9,117
2782,motor,motorboat,18.2,5.5,1.8,10.2,-50,87,89,2,137
103,small,motorboat,7.55,2.47,0.8,0.0,-49,5,7,2,54
951,super,yacht,23.1,5.97,2.71,19.2,-49,44,57,13,93
2096,motor,motorboat,17.52,5.13,1.54,6.5,-49,73,74,1,122
2500,motor,motorboat,16.86,5.19,1.52,10.1,-49,80,82,2,129
2713,sail,sailboat,16.85,5.14,2.54,0.0,-49,85,90,5,134
3510,motor,motorboat,13.07,3.89,1.32,3.4,-49,99,101,2,148
3590,sail,sailboat,16.9,5.54,2.89,9.0,-49,100,104,4,149
33,motor,motorboat,17.01,4.95,1.68,9.6,-48,1,4,3,49
25,motor,motorboat,14.82,4.54,1.52,3.6,-47,1,2,1,48
89,motor,motorboat,10.0,2.83,1.02,4.1,-47,4,6,2,51
651,sail,sailboat,13.28,4.37,2.26,5.5,-47,34,36,2,81
704,sail,sailboat,12.55,4.04,2.1,5.6,-47,36,37,1,83
3050,motor,motorboat,18.0,5.46,1.81,13.6,-47,92,93,1,139
3728,sail,sailboat,13.9,4.21,2.09,0.0,-47,102,115,13,149
43,sail,sailboat,12.88,4.25,2.3,5.9,-46,1,8,7,47
121,sail,sailboat,14.06,4.43,2.24,5.3,-46,6,10,4,52
239,motor,motorboat,10.84,3.14,1.12,6.3,-46,14,16,2,60
719,sail,sailboat,11.92,3.73,2.1,0.0,-46,37,42,5,83
1210,small,motorboat,6.58,2.27,0.63,0.0,-46,52,55,3,98
1482,super,yacht,23.11,6.05,3.05,23.0,-46,61,62,1,107
45,super,yacht,25.18,7.05,2.91,24.1,-45,2,7,5,47
201,sail,sailboat,13.31,4.13,2.12,5.8,-45,11,12,1,56
442,super,yacht,26.74,7.34,3.02,14.4,-45,25,28,3,70
1457,motor,motorboat,16.9,4.95,1.49,12.5,-45,60,61,1,105
3035,motor,motorboat,15.28,4.43,1.53,12.5,-45,91,92,1,136
949,super,yacht,20.28,5.33,2.45,28.3,-44,44,45,1,88
2309,small,motorboat,6.95,2.28,0.72,0.0,-44,77,83,6,121
3103,super,yacht,27.22,7.32,2.98,25.7,-44,93,96,3,137
3805,super,yacht,22.23,6.01,2.52,30.2,-44,103,110,7,147
215,motor,motorboat,19.23,5.54,1.87,12.0,-43,12,18,6,55
357,motor,motorboat,15.97,4.86,1.42,7.3,-43,21,26,5,64
2810,sail,sailboat,15.77,5.08,2.57,0.0,-43,87,89,2,130
259,motor,motorboat,13.0,3.68,1.38,4.2,-42,15,38,23,57
325,small,motorboat,7.54,2.66,0.71,3.0,-42,18,19,1,60
1340,sail,sailboat,12.28,4.15,1.88,3.2,-42,57,60,3,99
1702,sail,sailboat,10.72,3.58,1.86,6.1,-42,65,71,6,107
1777,super,yacht,20.02,5.65,2.5,36.9,-42,66,67,1,108
3763,sail,sailboat,15.18,5.01,2.36,13.8,-42,103,108,5,145
1206,sail,sailboat,13.37,4.09,2.07,5.2,-41,52,55,3,93
2937,motor,motorboat,10.0,2.93,0.87,5.9,-41,89,90,1,130
3161,sail,sailboat,14.45,4.47,2.52,3.0,-41,94,100,6,135
3163,motor,motorboat,11.21,3.16,1.04,4.8,-41,94,102,8,135
4207,sail,sailboat,10.24,3.28,1.67,0.0,-41,109,112,3,150
352,motor,motorboat,13.97,4.04,1.45,3.9,-40,20,21,1,60
389,super,yacht,20.81,5.51,2.59,23.5,-40,22,24,2,62
156,super,yacht,27.56,7.57,3.11,35.2,-39,9,16,7,48
181,sail,sailboat,9.5,3.0,1.42,0.0,-39,10,15,5,49
224,super,yacht,23.44,6.65,2.9,16.4,-39,13,14,1,52
264,motor,motorboat,14.25,4.02,1.22,6.0,-39,15,17,2,54
639,super,yacht,26.53,7.33,3.2,31.2,-39,33,34,1,72
2419,motor,motorboat,10.0,2.82,0.98,5.5,-39,79,80,1,118
2722,sail,sailboat,12.91,4.08,1.96,6.7,-39,86,87,1,125
1978,sail,sailboat,11.68,3.58,1.77,0.0,-38,71,73,2,109
2470,sail,sailboat,10.14,3.19,1.61,6.0,-38,80,85,5,118
3769,sail,sailboat,12.75,3.88,2.21,0.0,-38,103,110,7,141
88,super,yacht,20.3,5.76,2.52,32.6,-37,4,6,2,41
991,super,yacht,26.81,7.47,3.33,29.0,-37,45,56,11,82
1631,motor,motorboat,14.12,4.21,1.5,4.8,-37,64,71,7,101
3403,super,yacht,21.14,6.01,2.56,39.6,-37,97,98,1,134
3732,small,motorboat,7.99,2.77,0.86,0.0,-37,102,104,2,139
2,sail,sailboat,10.21,3.09,1.53,5.1,-36,0,3,3,36
128,sail,sailboat,15.51,5.23,2.49,9.8,-36,7,8,1,43
341,small,motorboat,8.49,2.95,0.95,0.0,-36,20,22,2,56
555,motor,motorboat,10.0,2.8,0.99,0.0,-36,31,59,28,67
3012,sail,sailboat,10.44,3.31,1.81,6.4,-36,91,97,6,127
287,sail,sailboat,14.16,4.76,2.52,5.2,-35,17,18,1,52
356,motor,motorboat,17.65,5.06,1.6,12.6,-35,21,24,3,56
381,motor,motorboat,12.32,3.42,1.29,4.0,-35,22,30,8,57
2707,super,yacht,22.66,5.94,2.74,21.4,-35,85,86,1,120
4125,super,yacht,28.05,7.21,3.63,0.0,-35,108,109,1,143
4298,motor,motorboat,11.73,3.54,1.13,3.6,-35,110,115,5,145
4542,motor,motorboat,18.43,5.3,1.82,6.9,-35,115,117,2,150
15,sail,sailboat,12.4,4.16,2.18,6.7,-34,0,7,7,34
221,sail,sailboat,12.64,3.82,2.01,3.9,-34,13,20,7,47
385,motor,motorboat,14.95,4.24,1.39,0.0,-34,22,25,3,56
1158,small,motorboat,6.16,2.03,0.66,0.0,-34,51,59,8,85
49,sail,sailboat,10.74,3.31,1.94,5.2,-33,2,5,3,35
1045,super,yacht,21.05,5.71,2.39,38.1,-33,46,50,4,79
2462,sail,sailboat,13.75,4.26,2.17,4.6,-33,80,86,6,113
4324,super,yacht,21.12,5.42,2.47,25.7,-33,111,116,5,144
4405,super,yacht,28.16,7.84,3.57,25.6,-33,112,117,5,145
136,motor,motorboat,14.56,4.24,1.55,7.0,-32,7,11,4,39
1258,super,yacht,25.44,6.96,2.77,26.1,-32,54,57,3,86
4000,super,yacht,22.0,5.87,2.5,18.4,-32,106,109,3,138
4064,small,motorboat,8.01,2.81,0.79,3.2,-32,107,109,2,139
4496,sail,sailboat,12.77,4.21,2.21,0.0,-32,114,116,2,146
4748,motor,motorboat,18.95,5.29,1.98,0.0,-32,118,120,2,150
66,sail,sailboat,12.77,3.85,2.23,4.3,-31,3,9,6,34
132,sail,sailboat,11.19,3.58,2.06,4.0,-31,7,10,3,38
266,sail,sailboat,10.06,3.13,1.5,0.0,-31,16,23,7,47
2228,super,yacht,20.91,5.9,2.36,39.6,-31,75,87,12,106
2432,motor,motorboat,13.91,4.13,1.45,0.0,-31,79,84,5,110
3089,super,yacht,23.4,6.57,2.59,19.3,-31,92,96,4,123
124,motor,motorboat,16.05,4.48,1.57,0.0,-30,6,21,15,36
202,sail,sailboat,13.9,4.37,2.55,6.2,-30,11,12,1,41
410,super,yacht,20.94,5.86,2.49,36.6,-30,23,24,1,53
4462,super,yacht,26.55,7.13,2.93,34.8,-30,114,116,2,144
4493,motor,motorboat,18.14,5.15,1.68,13.0,-30,114,116,2,144
85,sail,sailboat,12.88,4.0,2.1,4.2,-29,4,11,7,33
372,small,motorboat,7.23,2.5,0.71,3.1,-29,22,40,18,51
564,sail,sailboat,11.23,3.41,2.0,0.0,-29,31,32,1,60
2056,motor,motorboat,11.0,3.09,1.17,6.7,-29,72,75,3,101
51,motor,motorboat,14.86,4.37,1.5,6.4,-28,2,3,1,30
118,motor,motorboat,14.87,4.65,1.5,5.6,-28,6,9,3,34
403,sail,sailboat,11.12,3.58,1.77,4.5,-28,23,24,1,51
970,super,yacht,20.78,5.85,2.78,17.9,-28,45,51,6,73
1626,small,motorboat,9.48,3.13,1.06,0.0,-28,64,67,3,92
2262,motor,motorboat,13.15,4.04,1.37,4.3,-28,76,78,2,104
4719,sail,sailboat,11.21,3.68,1.98,4.4,-28,117,119,2,145
314,motor,motorboat,11.27,3.26,1.17,4.8,-27,18,19,1,45
580,small,motorboat,6.07,2.04,0.58,2.4,-27,32,35,3,59
804,super,yacht,27.14,7.05,3.34,0.0,-27,39,42,3,66
1772,motor,motorboat,16.06,4.97,1.61,0.0,-27,66,72,6,93
2616,small,motorboat,9.01,3.1,0.92,0.0,-27,83,87,4,110
2801,super,yacht,20.46,5.24,2.28,37.7,-27,87,89,2,114
3679,sail,sailboat,15.46,5.0,2.65,0.0,-27,102,103,1,129
4567,super,yacht,22.57,6.18,2.6,14.7,-27,115,116,1,142
4568,super,yacht,20.81,5.31,2.34,34.5,-27,115,116,1,142
4840,super,yacht,20.46,5.45,2.38,29.9,-27,119,132,13,146
59,sail,sailboat,12.87,4.22,2.0,6.7,-26,3,4,1,29
2337,super,yacht,23.04,6.19,2.94,32.1,-26,77,83,6,103
2688,sail,sailboat,10.27,3.15,1.59,4.9,-26,85,107,22,111
2780,sail,sailboat,9.56,3.24,1.45,2.6,-26,87,94,7,113
2919,super,yacht,23.43,6.59,2.7,30.7,-26,89,96,7,115
3302,super,yacht,23.8,6.75,2.95,36.2,-26,95,97,2,121
3317,super,yacht,23.09,6.29,3.07,24.7,-26,95,100,5,121
4370,super,yacht,26.81,6.91,3.48,0.0,-26,112,118,6,138
596,motor,motorboat,18.78,5.43,1.75,9.2,-25,32,33,1,57
619,motor,motorboat,20.48,5.81,1.77,29.2,-25,33,34,1,58
1095,super,yacht,27.81,7.44,3.39,18.1,-25,49,50,1,74
3388,sail,sailboat,10.99,3.66,1.92,4.3,-25,97,99,2,122
382,super,yacht,23.78,6.41,3.01,33.5,-24,22,28,6,46
409,sail,sailboat,12.18,3.94,2.04,4.4,-24,23,25,2,47
514,motor,motorboat,10.52,3.17,1.11,3.3,-24,30,32,2,54
574,small,motorboat,6.62,2.2,0.62,0.0,-24,31,37,6,55
611,sail,sailboat,15.23,4.66,2.81,12.3,-24,32,34,2,56
2724,sail,sailboat,10.8,3.52,1.79,0.0,-24,86,89,3,110
4801,sail,sailboat,13.03,4.19,2.33,4.8,-24,118,124,6,142
8,motor,motorboat,17.07,5.28,1.66,7.4,-23,0,2,2,23
402,motor,motorboat,12.07,3.77,1.08,4.5,-23,23,27,4,46
721,sail,sailboat,10.98,3.36,1.65,4.8,-23,37,43,6,60
1015,motor,motorboat,18.55,5.73,1.87,10.3,-23,46,53,7,69
2519,sail,sailboat,13.79,4.53,2.05,5.2,-23,81,83,2,104
4182,sail,sailboat,16.78,5.07,2.68,12.2,-23,109,111,2,132
5079,sail,sailboat,14.83,4.95,2.26,6.5,-23,123,137,14,146
36,super,yacht,21.11,5.42,2.83,33.0,-22,1,2,1,23
119,motor,motorboat,15.36,4.73,1.46,11.6,-22,6,9,3,28
144,super,yacht,25.99,7.27,3.24,26.2,-22,8,20,12,30
165,super,yacht,26.7,7.52,3.38,23.8,-22,10,13,3,32
219,motor,motorboat,10.82,3.34,1.07,5.1,-22,13,26,13,35
246,motor,motorboat,15.82,4.81,1.5,9.1,-22,15,18,3,37
358,motor,motorboat,10.77,3.0,1.05,3.8,-22,21,23,2,43
431,sail,sailboat,11.67,3.88,1.94,3.1,-22,25,27,2,47
1633,motor,motorboat,15.95,4.51,1.61,11.1,-22,64,68,4,86
1723,sail,sailboat,13.92,4.48,2.35,0.0,-22,66,67,1,88
2276,small,motorboat,7.15,2.54,0.71,0.0,-22,76,83,7,98
2869,sail,sailboat,9.5,3.14,1.71,2.2,-22,88,90,2,110
6,super,yacht,25.31,6.92,3.16,23.3,-21,0,7,7,21
169,small,motorboat,8.98,3.1,1.0,2.1,-21,10,12,2,31
339,motor,motorboat,15.85,4.77,1.68,6.1,-21,19,25,6,40
461,sail,sailboat,10.73,3.39,1.8,7.0,-21,26,32,6,47
538,motor,motorboat,10.0,2.99,1.05,4.8,-21,31,34,3,52
823,motor,motorboat,13.23,3.99,1.2,6.1,-21,39,42,3,60
3147,super,yacht,26.62,6.92,2.97,33.9,-21,93,94,1,114
142,sail,sailboat,12.0,3.72,1.85,4.4,-20,8,10,2,28
197,motor,motorboat,17.42,5.35,1.83,8.8,-20,11,15,4,31
592,sail,sailboat,15.72,5.12,2.4,0.0,-20,32,34,2,52
780,sail,sailboat,12.08,3.96,2.2,4.4,-20,38,40,2,58
795,super,yacht,21.96,6.04,2.42,39.5,-20,39,40,1,59
840,small,motorboat,6.25,2.04,0.63,2.6,-20,40,47,7,60
2774,sail,sailboat,9.5,2.92,1.51,3.1,-20,87,89,2,107
3087,sail,sailboat,15.04,4.98,2.38,12.5,-20,92,95,3,112
4691,super,yacht,27.52,7.13,3.21,38.4,-20,117,122,5,137
19,small,motorboat,7.44,2.61,0.8,3.3,-19,1,8,7,20
152,sail,sailboat,13.85,4.6,2.43,5.4,-19,9,12,3,28
205,motor,motorboat,19.23,5.56,1.83,9.7,-19,12,18,6,31
304,small,motorboat,8.76,3.06,0.97,0.0,-19,17,20,3,36
330,sail,sailboat,12.51,4.02,1.89,0.0,-19,18,23,5,37
440,motor,motorboat,15.01,4.33,1.38,0.0,-19,25,28,3,44
678,sail,sailboat,15.86,5.36,2.9,7.9,-19,35,41,6,54
1973,super,yacht,21.9,6.07,2.73,23.5,-19,70,77,7,89
2118,motor,motorboat,13.05,4.08,1.13,3.3,-19,73,74,1,92
3393,motor,motorboat,12.39,3.49,1.28,3.2,-19,97,102,5,116
3808,sail,sailboat,11.4,3.84,2.06,4.2,-19,103,106,3,122
68,motor,motorboat,16.74,4.64,1.71,7.7,-18,3,4,1,21
198,small,motorboat,9.04,3.13,0.86,0.0,-18,11,17,6,29
812,small,motorboat,7.26,2.42,0.73,2.5,-18,39,45,6,57
1053,super,yacht,23.17,6.23,2.59,38.3,-18,47,49,2,65
2041,sail,sailboat,11.95,4.02,1.83,6.5,-18,72,75,3,90
4105,sail,sailboat,13.51,4.44,2.45,0.0,-18,108,109,1,126
4455,super,yacht,22.03,6.07,2.76,33.7,-18,113,127,14,131
108,sail,sailboat,13.15,4.21,2.09,5.0,-17,5,12,7,22
163,small,motorboat,8.28,2.8,0.75,0.0,-17,9,15,6,26
275,motor,motorboat,10.0,2.95,0.9,5.9,-17,16,22,6,33
891,sail,sailboat,13.9,4.56,2.18,0.0,-17,42,43,1,59
1327,motor,motorboat,18.5,5.6,1.7,9.8,-17,56,57,1,73
1724,sail,sailboat,17.0,5.56,2.88,8.3,-17,66,69,3,83
2558,sail,sailboat,11.78,3.98,2.16,3.8,-17,81,91,10,98
2734,motor,motorboat,16.54,4.76,1.59,8.9,-17,86,87,1,103
5573,small,motorboat,6.83,2.33,0.76,0.0,-17,130,131,1,147
5600,small,motorboat,9.26,3.2,0.88,2.4,-17,131,145,14,148
82,sail,sailboat,13.56,4.26,2.5,6.1,-16,4,11,7,20
676,sail,sailboat,13.75,4.26,2.43,6.6,-16,35,40,5,51
882,motor,motorboat,15.57,4.79,1.62,12.4,-16,42,45,3,58
940,motor,motorboat,10.0,2.79,1.02,6.5,-16,44,47,3,60
1273,sail,sailboat,12.59,4.0,2.09,5.3,-16,54,55,1,70
1281,sail,sailboat,9.8,3.27,1.55,0.0,-16,54,61,7,70
3333,sail,sailboat,11.84,3.84,1.98,0.0,-16,96,98,2,112
3658,super,yacht,22.43,5.95,2.71,18.0,-16,101,103,2,117
4573,motor,motorboat,14.01,4.3,1.43,3.6,-16,115,128,13,131
4877,sail,sailboat,12.99,4.36,2.23,3.9,-16,120,123,3,136
22,motor,motorboat,13.63,4.08,1.22,6.4,-15,1,6,5,16
191,sail,sailboat,12.1,3.71,1.93,0.0,-15,11,14,3,26
309,sail,sailboat,10.59,3.26,1.7,5.3,-15,18,30,12,33
1351,sail,sailboat,15.07,4.96,2.73,0.0,-15,57,58,1,72
5768,super,yacht,24.37,6.97,3.03,32.1,-15,134,137,3,149
179,sail,sailboat,11.49,3.62,1.96,4.8,-14,10,13,3,24
225,motor,motorboat,19.12,5.35,1.69,0.0,-14,13,15,2,27
759,motor,motorboat,15.71,4.73,1.42,10.1,-14,38,45,7,52
943,small,motorboat,6.8,2.41,0.66,2.4,-14,44,54,10,58
1378,motor,motorboat,11.56,3.37,1.17,4.7,-14,58,61,3,72
1841,motor,motorboat,15.63,4.43,1.55,11.7,-14,67,70,3,81
3242,sail,sailboat,14.57,4.56,2.49,4.7,-14,94,96,2,108
3390,sail,sailboat,13.5,4.53,2.02,5.3,-14,97,98,1,111
3720,super,yacht,26.97,7.22,3.29,28.5,-14,102,106,4,116
4847,motor,motorboat,14.05,4.07,1.35,6.0,-14,119,125,6,133
4930,sail,sailboat,16.6,5.42,2.79,0.0,-14,121,126,5,135
5778,sail,sailboat,13.23,4.09,2.13,5.8,-14,134,136,2,148
7,small,motorboat,9.39,3.08,0.98,0.0,-13,0,2,2,13
293,motor,motorboat,13.76,3.83,1.25,3.9,-13,17,39,22,30
419,super,yacht,20.13,5.51,2.31,32.0,-13,24,25,1,37
551,motor,motorboat,12.36,3.56,1.1,6.7,-13,31,34,3,44
641,sail,sailboat,11.85,3.95,2.15,3.3,-13,33,34,1,46
811,super,yacht,26.8,7.03,3.36,20.1,-13,39,41,2,52
1345,super,yacht,21.4,5.75,2.37,27.1,-13,57,61,4,70
1517,motor,motorboat,15.56,4.59,1.63,11.6,-13,61,62,1,74
2659,sail,sailboat,16.43,5.5,3.01,0.0,-13,84,85,1,97
4229,small,motorboat,7.4,2.65,0.79,0.0,-13,109,112,3,122
5166,motor,motorboat,13.3,4.1,1.31,0.0,-13,124,125,1,137
5674,super,yacht,20.34,5.79,2.51,19.9,-13,132,133,1,145
12,super,yacht,21.36,6.07,2.31,34.8,-12,0,6,6,12
16,small,motorboat,7.5,2.56,0.83,2.9,-12,0,3,3,12
39,small,motorboat,6.12,2.08,0.57,0.0,-12,1,3,2,13
423,small,motorboat,6.71,2.3,0.66,2.7,-12,24,31,7,36
515,super,yacht,28.83,7.54,3.6,36.0,-12,30,32,2,42
566,sail,sailboat,11.12,3.55,1.93,0.0,-12,31,60,29,43
1036,motor,motorboat,13.98,4.03,1.24,5.4,-12,46,49,3,58
4252,sail,sailboat,14.2,4.43,2.36,4.2,-12,110,112,2,122
5113,sail,sailboat,10.07,3.15,1.76,5.7,-12,123,124,1,135
11,sail,sailboat,13.36,4.47,2.15,6.1,-11,0,5,5,11
27,motor,motorboat,17.23,5.01,1.52,10.3,-11,1,7,6,12
52,motor,motorboat,11.76,3.56,1.01,5.7,-11,2,5,3,13
186,super,yacht,28.42,7.38,3.38,33.3,-11,11,14,3,22
351,motor,motorboat,16.44,4.78,1.66,7.9,-11,20,22,2,31
363,sail,sailboat,12.44,3.83,2.28,4.9,-11,21,34,13,32
510,sail,sailboat,14.49,4.66,2.53,4.5,-11,30,38,8,41
590,super,yacht,25.94,7.1,3.38,14.7,-11,32,35,3,43
628,super,yacht,24.11,6.6,2.73,18.9,-11,33,34,1,44
643,super,yacht,28.25,8.07,3.07,37.8,-11,33,37,4,44
872,small,motorboat,7.41,2.6,0.75,0.0,-11,41,44,3,52
986,sail,sailboat,9.93,3.0,1.73,3.0,-11,45,52,7,56
2652,sail,sailboat,9.51,3.18,1.55,2.7,-11,84,86,2,95
4596,super,yacht,23.33,6.17,2.87,29.4,-11,116,119,3,127
5395,motor,motorboat,19.06,5.89,1.73,0.0,-11,128,133,5,139
139,small,motorboat,6.83,2.43,0.63,0.0,-10,7,9,2,17
400,small,motorboat,7.08,2.35,0.72,0.0,-10,23,28,5,33
418,sail,sailboat,14.1,4.35,2.54,3.6,-10,24,31,7,34
553,motor,motorboat,13.91,4.24,1.27,4.7,-10,31,34,3,41
642,sail,sailboat,13.05,3.98,1.95,3.6,-10,33,36,3,43
994,motor,motorboat,12.35,3.5,1.26,5.3,-10,45,47,2,55
1070,small,motorboat,9.18,3.21,0.98,0.0,-10,48,50,2,58
4167,super,yacht,25.45,7.14,3.3,14.0,-10,108,110,2,118
18,sail,sailboat,12.54,3.92,2.3,0.0,-9,1,2,1,10
24,small,motorboat,8.68,3.09,0.82,0.0,-9,1,6,5,10
32,motor,motorboat,16.0,4.51,1.43,13.5,-9,1,6,5,10
40,motor,motorboat,14.38,4.26,1.31,6.2,-9,1,4,3,10
47,motor,motorboat,14.47,4.5,1.38,3.3,-9,2,3,1,11
104,sail,sailboat,14.62,4.68,2.22,0.0,-9,5,7,2,14
147,small,motorboat,7.9,2.73,0.87,0.0,-9,8,16,8,17
375,motor,motorboat,16.11,4.83,1.62,13.2,-9,22,29,7,31
384,sail,sailboat,13.17,3.97,2.14,3.5,-9,22,29,7,31
454,super,yacht,25.15,7.18,2.87,24.5,-9,26,27,1,35
739,sail,sailboat,14.22,4.59,2.29,5.1,-9,37,44,7,46
754,super,yacht,27.65,7.69,3.06,32.3,-9,38,42,4,47
831,sail,sailboat,13.49,4.39,2.16,3.9,-9,40,47,7,49
